season_year,season_slug,season_full_path,stage_name,game_name,has_game,has_team_scores,has_contest_scores,has_date,has_jury,has_host
0,1l-2006,kvn/1l-kvn/1l-2006,1/8 финала,Первая 1/8 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,1/8 финала,Вторая 1/8 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,1/8 финала,Третья 1/8 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,1/4 финала,Первая 1/4 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,1/4 финала,Вторая 1/4 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,1/4 финала,Третья 1/4 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
0,1l-2006,kvn/1l-kvn/1l-2006,Финал,Финал,+,+,-,-,-,-
1993,1l-1993,kvn/1l-kvn/1l-1993,1/4 финала,Первая 1/4 финала,+,-,-,-,-,-
1993,1l-1993,kvn/1l-kvn/1l-1993,1/4 финала,Вторая 1/4 финала,+,-,-,-,-,-
1993,1l-1993,kvn/1l-kvn/1l-1993,1/2 финала,Первая 1/2 финала,+,-,-,-,-,-
1993,1l-1993,kvn/1l-kvn/1l-1993,1/2 финала,Вторая 1/2 финала,+,-,-,-,-,-
1993,1l-1993,kvn/1l-kvn/1l-1993,Финал,Финал,+,+,-,-,-,-
1994,1l-1994,kvn/1l-kvn/1l-1994,Финал,Финал,+,+,-,-,-,-
1995,1l-1995,kvn/1l-kvn/1l-1995,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
1995,1l-1995,kvn/1l-kvn/1l-1995,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
1995,1l-1995,kvn/1l-kvn/1l-1995,Финал,Финал,+,+,-,-,-,-
1996,1l-1996,kvn/1l-kvn/1l-1996,Финал,Финал,+,+,-,-,-,-
1997,1l-1997,kvn/1l-kvn/1l-1997,Финал,Финал,+,+,-,-,-,-
1998,1l-1998,kvn/1l-kvn/1l-1998,1/2 финала,Первая 1/2 финала,+,+,-,-,-,-
1998,1l-1998,kvn/1l-kvn/1l-1998,1/2 финала,Вторая 1/2 финала,+,+,-,-,-,-
1998,1l-1998,kvn/1l-kvn/1l-1998,Финал,Финал,+,+,-,-,-,-
1999,1l-1999,kvn/1l-kvn/1l-1999,1/8 финала,Первая 1/8 финала,+,+,-,+,-,-
1999,1l-1999,kvn/1l-kvn/1l-1999,1/8 финала,Вторая 1/8 финала,+,+,-,+,-,-
1999,1l-1999,kvn/1l-kvn/1l-1999,1/4 финала,Первая 1/4 финала,+,+,-,+,-,-
1999,1l-1999,kvn/1l-kvn/1l-1999,1/4 финала,Вторая 1/4 финала,+,+,-,+,-,-
1999,1l-1999,kvn/1l-kvn/1l-1999,1/2 финала,Первая 1/2 финала,+,+,-,+,-,-
